"SEQN","RIDAGEYR","INDFMPIR","DMDEDUC2","DMDMARTL","RIAGENDR","RIDRETH1"
31127,0,0.75,NA,NA,1,3
31128,11,0.77,NA,NA,2,4
31129,15,2.71,NA,5,1,4
31130,85,1.99,4,2,2,3
31131,44,4.65,4,1,2,4
31132,70,5,5,1,1,3
31133,16,5,NA,5,2,4
31134,73,NA,3,1,1,3
31135,0,5,NA,NA,1,5
31136,41,3.57,4,5,2,4
31137,14,0.1,NA,5,2,4
31138,3,2.13,NA,NA,1,1
31139,18,4.91,NA,5,2,2
31140,11,5,NA,NA,2,3
31141,16,5,NA,5,1,1
31142,7,0.51,NA,NA,1,1
31143,19,5,NA,5,1,3
31144,21,0.46,3,5,1,2
31145,10,3.32,NA,NA,2,3
31146,8,2.63,NA,NA,2,3
31147,7,0.78,NA,NA,2,4
31148,16,1.06,NA,5,2,3
31149,85,0.05,2,2,2,3
31150,79,1.22,3,3,1,3
31151,59,3.03,3,1,2,4
31152,27,1.76,3,1,2,1
31153,44,1.03,3,5,2,5
31154,62,1.56,3,1,1,4
31155,38,3.5,5,1,1,5
31156,43,1.19,4,4,2,4
31157,11,0.99,NA,NA,2,1
31158,71,3.71,4,1,1,3
31159,9,0.63,NA,NA,1,4
31160,39,1.91,2,1,2,3
31161,10,2.9,NA,NA,2,3
31162,71,2.5,3,1,2,3
31163,17,2.23,NA,5,1,4
31164,54,5,4,1,1,3
31165,1,2.8,NA,NA,1,1
31166,15,0.75,NA,5,1,3
31167,37,4.16,4,1,1,3
31168,0,NA,NA,NA,1,3
31169,3,2.05,NA,NA,2,4
31170,14,3,NA,5,1,5
31171,12,1.31,NA,NA,2,4
31172,20,0.7,2,3,2,3
31173,6,0.72,NA,NA,1,1
31174,6,1.05,NA,NA,2,1
31175,75,3.92,1,1,1,4
31176,3,0.41,NA,NA,2,3
31177,18,1.12,NA,5,2,4
31178,14,4.07,NA,5,2,1
31179,71,0.44,3,4,1,3
31180,12,1.33,NA,NA,2,3
31181,16,2.41,NA,5,1,4
31182,2,0.66,NA,NA,2,1
31183,33,3.9,5,1,2,3
31184,0,0.41,NA,NA,1,3
31185,1,0.25,NA,NA,1,3
31186,46,1.68,1,3,2,1
31187,22,4.29,4,6,2,3
31188,5,0.49,NA,NA,2,4
31189,9,2.58,NA,NA,2,5
31190,72,NA,4,1,1,3
31191,22,0.88,2,5,2,1
31192,60,4.49,4,2,2,3
31193,51,1.01,1,3,1,3
31194,47,1.02,1,3,2,1
31195,73,5,4,1,1,3
31196,12,1.86,NA,NA,2,4
31197,0,0.74,NA,NA,1,1
31198,0,1.71,NA,NA,1,3
31199,25,1,4,6,2,3
31200,1,5,NA,NA,2,3
31201,17,0.15,NA,5,1,4
31202,1,1.51,NA,NA,1,3
31203,33,0.99,2,6,2,1
31204,15,1.14,NA,5,2,3
31205,43,5,4,1,2,1
31206,17,1.03,NA,5,2,5
31207,20,0.1,4,5,2,4
31208,47,5,5,6,2,3
31209,2,0.42,NA,NA,2,1
31210,33,1.04,3,5,1,3
31211,17,5,NA,5,2,3
31212,23,0.48,2,5,2,4
31213,53,1.05,2,5,2,4
31214,46,0.77,4,1,2,3
31215,12,1.92,NA,NA,2,1
31216,0,3.1,NA,NA,1,4
31217,1,0.67,NA,NA,2,4
31218,14,1.81,NA,5,2,4
31219,9,2.14,NA,NA,1,4
31220,50,5,3,1,1,3
31221,54,5,3,1,2,3
31222,4,0.82,NA,NA,1,1
31223,61,1.68,2,1,1,1
31224,9,5,NA,NA,1,5
31225,14,2.49,NA,5,2,3
31226,17,NA,NA,6,2,2
31227,64,5,5,1,1,3
31228,34,1.68,2,6,1,1
31229,4,NA,NA,NA,1,1
31230,10,0.55,NA,NA,2,1
31231,30,4.55,5,1,2,3
31232,56,1.17,3,2,2,4
31233,83,2.61,2,1,1,3
31234,0,1.09,NA,NA,2,4
31235,19,0.37,NA,4,1,4
31236,5,3.36,NA,NA,2,1
31237,12,4.25,NA,NA,1,2
31238,9,0,NA,NA,2,4
31239,18,5,NA,5,1,3
31240,34,5,5,1,2,3
31241,40,2.73,2,1,1,2
31242,58,5,5,1,1,3
31243,80,5,5,1,1,3
31244,23,2.16,5,6,1,3
31245,18,3,NA,5,2,1
31246,17,1.49,NA,5,1,3
31247,7,0.1,NA,NA,1,4
31248,21,0.65,1,6,1,1
31249,18,0.51,NA,6,2,1
31250,10,0.88,NA,NA,2,4
31251,3,0.62,NA,NA,2,4
31252,35,3.62,4,1,1,4
31253,26,0.84,4,5,1,3
31254,30,0,1,1,1,1
31255,34,1.86,2,1,2,1
31256,3,1.58,NA,NA,1,1
31257,70,1.21,4,1,1,3
31258,20,1.43,2,5,1,2
31259,35,1.93,4,5,2,4
31260,5,0.76,NA,NA,2,3
31261,49,3.48,4,6,2,4
31262,52,2.43,1,1,1,1
31263,78,1.74,1,1,2,4
31264,17,3.1,NA,5,1,5
31265,19,0.16,NA,5,1,4
31266,62,2.04,3,2,1,3
31267,14,3.92,NA,5,2,3
31268,40,0.38,3,1,2,3
31269,15,2.99,NA,5,2,1
31270,8,0.37,NA,NA,2,2
31271,14,1.5,NA,5,1,2
31272,11,0,NA,NA,1,4
31273,62,3.9,2,1,1,3
31274,56,1.88,3,4,1,3
31275,13,3.3,NA,NA,2,4
31276,36,5,5,1,1,4
31277,61,5,5,1,2,3
31278,65,4.17,1,1,1,1
31279,76,1.17,2,1,2,3
31280,60,2.3,3,2,2,3
31281,2,0.81,NA,NA,2,1
31282,16,5,NA,5,2,1
31283,0,0.77,NA,NA,2,1
31284,80,5,5,1,1,3
31285,57,3.57,5,3,2,3
31286,27,0.9,4,1,1,1
31287,2,2.89,NA,NA,1,1
31288,19,0.66,NA,5,1,4
31289,16,1.55,NA,5,2,1
31290,41,0.82,1,1,1,1
31291,52,4.29,4,1,1,4
31292,15,1.86,NA,5,2,4
31293,15,1.61,NA,5,1,1
31294,73,3.12,4,2,2,3
31295,11,0.56,NA,NA,1,4
31296,4,0.96,NA,NA,2,3
31297,85,5,3,2,2,3
31298,33,2.83,4,6,2,1
31299,9,2.08,NA,NA,1,5
31300,18,0.85,NA,5,2,1
31301,66,2.07,2,4,1,1
31302,24,2.4,4,1,2,3
31303,33,1.71,1,1,2,2
31304,53,NA,1,4,1,1
31305,17,2.78,NA,5,1,1
31306,0,3.21,NA,NA,1,4
31307,77,4.17,3,1,2,3
31308,59,3.66,4,2,1,4
31309,60,0.75,1,1,1,1
31310,15,5,NA,5,2,3
31311,71,1.52,3,1,1,3
31312,10,1.39,NA,NA,1,1
31313,12,0.03,NA,NA,2,4
31314,28,5,4,6,1,1
31315,3,0.7,NA,NA,1,1
31316,10,3.48,NA,NA,2,4
31317,24,0.21,4,5,1,4
31318,7,1.01,NA,NA,1,4
31319,8,1.9,NA,NA,1,4
31320,13,1.2,NA,NA,1,4
31321,25,2.03,4,1,2,1
31322,4,1.37,NA,NA,1,1
31323,83,NA,1,2,1,3
31324,47,3.9,4,1,2,4
31325,27,1.63,2,6,1,3
31326,3,0.48,NA,NA,2,1
31327,1,3.73,NA,NA,1,5
31328,7,NA,NA,NA,1,1
31329,10,5,NA,NA,1,3
31330,19,0.68,NA,5,1,1
31331,16,1.69,NA,5,1,4
31332,68,2.49,2,1,1,4
31333,29,3.12,4,5,2,1
31334,55,0.31,5,5,2,4
31335,0,4.82,NA,NA,1,5
31336,23,1.51,3,6,2,3
31337,54,5,4,1,1,3
31338,2,0.56,NA,NA,2,1
31339,85,4.46,2,2,2,5
31340,0,4.25,NA,NA,1,3
31341,16,2.33,NA,5,2,4
31342,11,4.04,NA,NA,1,4
31343,61,5,4,2,2,3
31344,55,5,5,1,2,3
31345,67,2.5,2,1,2,3
31346,7,1.16,NA,NA,1,3
31347,16,3.1,NA,5,2,3
31348,62,5,2,1,1,4
31349,13,3,NA,NA,2,4
31350,27,1.9,3,6,2,3
31351,6,3.48,NA,NA,1,4
31352,15,NA,NA,5,2,4
31353,53,1.49,3,1,1,3
31354,9,4.25,NA,NA,1,3
31355,8,2.99,NA,NA,1,5
31356,0,1.37,NA,NA,2,3
31357,85,4.56,2,2,2,3
31358,62,0.72,4,1,2,4
31359,3,1.2,NA,NA,2,1
31360,13,5,NA,NA,2,1
31361,30,1.19,4,1,2,3
31362,14,1.28,NA,5,1,1
31363,28,1.86,2,5,1,4
31364,15,5,NA,5,1,1
31365,16,3.21,NA,5,1,4
31366,0,NA,NA,NA,1,1
31367,85,2.2,3,2,2,3
31368,69,NA,3,2,2,3
31369,0,2.5,NA,NA,2,4
31370,19,0.9,NA,5,2,1
31371,16,3.73,NA,5,1,4
31372,48,3.66,4,6,2,4
31373,16,3.9,NA,5,1,1
31374,4,0.23,NA,NA,2,3
31375,9,4.25,NA,NA,1,2
31376,8,3.5,NA,NA,1,1
31377,4,0.6,NA,NA,2,3
31378,19,2.51,NA,5,2,1
31379,79,0.75,2,2,2,4
31380,69,2.02,2,1,1,4
31381,34,2.41,2,1,2,5
31382,61,5,4,6,1,4
31383,27,4.22,3,1,2,3
31384,11,1.5,NA,NA,2,3
31385,7,4.74,NA,NA,1,5
31386,45,1.81,2,1,2,3
31387,40,0.48,3,6,2,4
31388,60,2.4,3,5,2,3
31389,10,4.1,NA,NA,1,3
31390,2,4.25,NA,NA,2,2
31391,49,1.02,2,5,1,4
31392,61,1.75,3,1,1,1
31393,70,0.7,1,5,1,4
31394,19,0.51,NA,5,2,4
31395,17,0.43,NA,5,1,1
31396,55,3.51,4,3,2,1
31397,13,1.58,NA,NA,1,1
31398,12,0.15,NA,NA,1,4
31399,59,3.67,4,3,1,3
31400,78,NA,4,2,2,3
31401,2,4,NA,NA,1,3
31402,11,1.01,NA,NA,2,4
31403,21,2.79,4,6,2,4
31404,2,4.13,NA,NA,1,1
31405,3,0.81,NA,NA,1,1
31406,20,0.36,2,5,2,2
31407,64,4.13,5,1,2,4
31408,1,1,NA,NA,2,5
31409,7,4.42,NA,NA,1,4
31410,42,3.54,5,1,1,3
31411,4,3.61,NA,NA,1,1
31412,2,1.19,NA,NA,1,1
31413,34,1.9,3,1,1,2
31414,2,0.63,NA,NA,1,1
31415,23,0.85,1,1,2,1
31416,52,NA,5,1,2,3
31417,12,0.8,NA,NA,2,2
31418,11,1.07,NA,NA,2,1
31419,0,0.8,NA,NA,2,3
31420,29,1.24,1,5,1,1
31421,3,0.93,NA,NA,2,1
31422,4,5,NA,NA,2,4
31423,12,0.84,NA,NA,1,1
31424,3,0.21,NA,NA,2,4
31425,63,4.73,4,1,2,3
31426,16,1.28,NA,5,2,5
31427,16,0.32,NA,5,2,4
31428,14,0.51,NA,5,1,1
31429,40,2.61,2,1,1,4
31430,19,0.05,NA,5,2,3
31431,20,NA,2,5,2,1
31432,45,5,5,1,2,3
31433,4,2.75,NA,NA,2,1
31434,57,1.18,1,1,1,3
31435,38,2,3,1,1,4
31436,0,5,NA,NA,2,3
31437,59,1.39,4,1,2,5
31438,5,1.33,NA,NA,2,3
31439,31,3.11,5,1,2,3
31440,30,5,4,5,1,1
31441,62,4.24,4,3,1,4
31442,67,1.8,4,1,1,1
31443,19,1.78,NA,5,2,1
31444,38,4,1,1,1,3
31445,3,0.71,NA,NA,1,1
31446,18,1.71,NA,5,2,3
31447,85,0.71,3,2,1,3
31448,2,1.71,NA,NA,2,1
31449,37,5,4,5,2,3
31450,1,2.58,NA,NA,1,3
31451,17,0.52,NA,5,2,1
31452,54,3.2,5,6,2,4
31453,15,3.63,NA,5,2,5
31454,75,0.43,1,1,1,2
31455,33,3.75,4,1,1,4
31456,11,5,NA,NA,2,3
31457,61,4.7,3,2,2,1
31458,13,3.76,NA,NA,1,1
31459,3,4.5,NA,NA,1,3
31460,37,1.24,4,3,1,4
31461,0,1.07,NA,NA,1,4
31462,4,0.83,NA,NA,1,4
31463,48,3.98,3,3,1,4
31464,64,5,5,1,1,3
31465,7,4.16,NA,NA,1,3
31466,19,0.62,NA,5,1,4
31467,0,2.4,NA,NA,1,5
31468,55,1.45,2,3,1,3
31469,74,5,5,1,2,3
31470,26,0.68,3,1,2,1
31471,49,3.27,2,1,2,4
31472,76,1.43,4,1,1,3
31473,5,NA,NA,NA,2,4
31474,6,3.12,NA,NA,2,3
31475,1,1.59,NA,NA,1,3
31476,5,2.57,NA,NA,1,1
31477,35,1.56,1,1,1,1
31478,9,1.39,NA,NA,2,1
31479,0,1,NA,NA,1,1
31480,17,1.08,NA,5,2,1
31481,18,2.15,NA,5,2,3
31482,16,3.92,NA,5,1,1
31483,50,5,4,6,1,3
31484,7,0.56,NA,NA,1,4
31485,15,4.22,NA,5,2,3
31486,50,3.9,2,1,1,3
31487,37,1.57,4,3,2,4
31488,38,1.5,4,1,1,3
31489,7,3.87,NA,NA,2,1
31490,0,0.86,NA,NA,1,3
31491,46,5,4,5,2,4
31492,19,NA,NA,5,2,2
31493,2,0.51,NA,NA,2,1
31494,15,5,NA,5,2,3
31495,8,2.05,NA,NA,1,5
31496,51,NA,4,3,2,1
31497,50,1.88,3,3,2,3
31498,63,1.33,1,1,2,1
31499,12,2.24,NA,NA,2,1
31500,0,1.86,NA,NA,1,1
31501,34,0.9,4,6,1,3
31502,38,1.92,3,1,2,3
31503,47,1.49,4,1,1,3
31504,46,5,5,1,1,3
31505,15,3.62,NA,5,1,5
31506,73,1.29,1,1,1,3
31507,14,1.58,NA,5,1,1
31508,73,1.47,2,1,1,3
31509,35,0.94,4,4,1,3
31510,32,1.23,2,1,1,1
31511,12,3.62,NA,NA,2,1
31512,51,0.57,1,1,1,1
31513,65,2.27,3,1,1,4
31514,17,0.68,NA,6,2,1
31515,16,0.89,NA,5,1,1
31516,14,2.05,NA,5,2,4
31517,51,1.09,3,3,2,3
31518,40,2.35,4,6,2,5
31519,57,5,3,3,2,3
31520,53,1.22,2,3,1,4
31521,13,5,NA,NA,2,3
31522,28,5,3,6,1,3
31523,0,NA,NA,NA,1,1
31524,52,NA,3,1,2,3
31525,33,2.4,5,1,2,3
31526,2,0.04,NA,NA,2,4
31527,59,2.35,4,2,1,3
31528,20,1.49,3,5,1,1
31529,42,4.22,3,5,2,3
31530,28,5,4,5,2,4
31531,80,NA,4,1,2,3
31532,19,0.21,NA,5,1,4
31533,20,1.56,4,5,2,1
31534,23,0.53,2,4,1,4
31535,21,0.16,3,5,2,4
31536,4,3.54,NA,NA,2,1
31537,16,1,NA,5,2,3
31538,0,0.47,NA,NA,2,1
31539,17,1.12,NA,5,2,5
31540,18,2.13,NA,5,2,4
31541,10,0.62,NA,NA,2,1
31542,34,0.87,4,2,1,3
31543,7,2.69,NA,NA,2,3
31544,19,0.09,NA,5,2,1
31545,33,1.2,1,1,2,1
31546,80,0.47,2,3,2,3
31547,27,0.2,1,1,1,1
31548,69,1.84,1,4,1,1
31549,7,1.81,NA,NA,1,3
31550,23,1.9,4,6,1,3
31551,53,1.51,4,2,2,3
31552,5,4.67,NA,NA,2,4
31553,48,2,3,1,1,1
31554,15,1.55,NA,5,1,4
31555,43,4.85,3,4,1,3
31556,18,0.55,NA,5,2,4
31557,36,2.48,2,1,1,1
31558,85,1.63,2,5,1,3
31559,66,3.21,3,1,2,3
31560,18,1.59,NA,5,1,5
31561,12,1.49,NA,NA,1,4
31562,6,NA,NA,NA,2,4
31563,61,3.64,3,1,2,3
31564,18,2.73,NA,6,1,4
31565,19,1.4,NA,5,1,1
31566,13,2.24,NA,NA,1,3
31567,55,5,5,1,1,3
31568,11,1.66,NA,NA,1,4
31569,62,5,3,1,2,3
31570,52,3.76,4,1,1,3
31571,19,1.11,NA,5,2,1
31572,17,0.8,NA,5,1,1
31573,65,2.66,3,1,2,4
31574,14,5,NA,5,1,3
31575,15,2.8,NA,5,1,3
31576,51,3.1,2,1,1,3
31577,52,3.57,4,3,2,3
31578,4,0,NA,NA,2,1
31579,19,4.47,NA,5,1,3
31580,12,0,NA,NA,1,3
31581,18,1.49,NA,5,1,4
31582,37,3.21,4,1,1,4
31583,13,0.39,NA,NA,1,1
31584,0,1.86,NA,NA,2,4
31585,40,1.16,4,1,2,1
31586,8,NA,NA,NA,1,1
31587,70,0.93,1,1,1,1
31588,19,2.56,NA,5,2,3
31589,16,0.49,NA,6,2,3
31590,49,0.95,2,1,1,1
31591,51,3.88,5,1,1,4
31592,62,0.93,1,1,2,1
31593,58,5,3,1,2,1
31594,17,2.18,NA,5,2,4
31595,2,4.01,NA,NA,1,3
31596,10,5,NA,NA,2,4
31597,18,2.61,NA,5,1,2
31598,2,3.48,NA,NA,2,1
31599,42,2.9,5,1,1,3
31600,14,0.85,NA,5,1,4
31601,82,3.12,4,1,2,3
31602,4,0.5,NA,NA,2,3
31603,79,0.84,2,5,1,3
31604,16,3.88,NA,5,2,4
31605,11,1.14,NA,NA,1,3
31606,78,1.21,3,1,2,3
31607,10,0.8,NA,NA,1,1
